id_venta,id_cliente,id_vehiculo,id_vendedor,fecha_venta,precio_venta,Make,Model,Price,Year,Kilometer,Fuel Type,Transmission,Location,Color,Owner,Seller Type,Engine,Max Power,Max Torque,Drivetrain,Length,Width,Height,Seating Capacity,Fuel Tank Capacity,precio_usd,precio_eur
24,110,1894,13,2026-02-09,704244.0,Ford,Endeavour Titanium Plus 3.2 4x4 AT,3300000,2019,42475,Diesel,Automatic,Pune,Silver,First,Individual,3198 cc,197 bhp @ 3000 rpm,470 Nm @ 1750 rpm,AWD,4903.0,1869.0,1837.0,7.0,80.0,33000.0,28535.100000000002
25,41,1268,6,2025-11-05,2472280.0,Maruti Suzuki,Swift DZire ZDi BS-IV,325000,2010,82202,Diesel,Manual,Jalandhar,White,Second,Individual,1248 cc,75@4000,190@2000,FWD,4160.0,1690.0,1530.0,5.0,43.0,3250.0,2810.275
26,42,1213,11,2025-11-10,786177.0,MG,Hector Sharp 2.0 Diesel Turbo MT,1975000,2021,18500,Diesel,Manual,Hyderabad,Red,First,Individual,1956 cc,169 bhp @ 3750 rpm,350 Nm @ 1750 rpm,FWD,4655.0,1835.0,1760.0,5.0,60.0,19750.0,17077.825
27,161,207,13,2026-06-03,801706.0,Maruti Suzuki,Alto 800 Lxi,286000,2017,40564,Petrol,Manual,Jamshedpur,Silver,First,Individual,796 cc,47 bhp @ 6000 rpm,69 Nm @ 3500 rpm,FWD,3395.0,1490.0,1475.0,5.0,35.0,2860.0,2473.042
28,42,1408,11,2025-12-27,930236.0,Ford,Figo Titanium1.5 TDCi,575000,2019,71569,Diesel,Manual,Lucknow,White,First,Individual,1498 cc,99 bhp @ 3750 rpm,215 Nm @ 1750 rpm,FWD,3886.0,1695.0,1525.0,5.0,40.0,5750.0,4972.025000000001
29,33,84,15,2024-12-30,973110.0,BMW,X1 sDrive20d xLine,2990000,2018,34000,Diesel,Automatic,Delhi,White,First,Corporate,1995 cc,184 bhp @ 4000 rpm,350 Nm @ 1750 rpm,RWD,4454.0,2044.0,1545.0,5.0,63.0,29900.0,25854.530000000002
30,1,1165,4,2025-03-03,1217056.0,Audi,Q8 Celebration,9900000,2021,28000,Petrol,Automatic,Hyderabad,Silver,First,Individual,2995 cc,335 bhp @ 5000 rpm,500 Nm @ 1370 rpm,AWD,4986.0,1995.0,1705.0,5.0,85.0,99000.0,85605.3
31,51,1983,5,2024-06-12,380889.0,Skoda,Rapid Ambition 1.6 TDI CR MT,350000,2012,130000,Diesel,Manual,Nashik,White,First,Individual,1598 cc,105 bhp @ 4400 rpm,250 Nm @ 2500 rpm,FWD,4386.0,1699.0,1466.0,5.0,55.0,3500.0,3026.4500000000003
32,46,273,9,2024-06-19,783396.0,Renault,Kwid 1.0 RXT [2016-2019],299000,2016,26000,Petrol,Manual,Mumbai,Brown,First,Individual,999 cc,67 bhp @ 5500 rpm,91 Nm @ 4250 rpm,FWD,3679.0,1579.0,1478.0,5.0,28.0,2990.0,2585.453
33,134,572,13,2024-08-15,2094528.0,Volkswagen,Vento Highline Petrol AT,345000,2011,50667,Petrol,Automatic,Mumbai,White,Second,Individual,,,,,,,,,,3450.0,2983.215
34,39,459,3,2024-08-23,2381656.0,Mahindra,Scorpio S3 2WD 7 STR,1121000,2019,38000,Diesel,Manual,Patna,White,First,Individual,2523 cc,75 bhp @ 3200 rpm,200 Nm @ 1400 rpm,RWD,4456.0,1820.0,1930.0,7.0,60.0,11210.0,9693.287
35,155,1758,1,2025-09-17,2225728.0,Honda,City V CVT Petrol [2017-2019],1040000,2019,18000,Petrol,Automatic,Delhi,Brown,First,Individual,1497 cc,117 bhp @ 6600 rpm,145 Nm @ 4600 rpm,FWD,4440.0,1695.0,1495.0,5.0,40.0,10400.0,8992.880000000001
36,140,337,12,2024-07-05,1604214.0,Mahindra,XUV500 W8,484999,2012,102000,Diesel,Manual,Mumbai,Grey,Second,Individual,2179 cc,140 bhp @ 3750 rpm,330 Nm @ 2800 rpm,FWD,4585.0,1890.0,1785.0,7.0,70.0,4849.99,4193.7863529999995
37,70,1109,9,2024-07-29,1943330.0,Maruti Suzuki,Baleno Alpha Automatic,775000,2018,39000,Petrol,Automatic,Mumbai,Red,First,Individual,1197 cc,82 bhp @ 6000 rpm,113 Nm @ 4200 rpm,FWD,3995.0,1745.0,1510.0,5.0,37.0,7750.0,6701.425
38,49,1140,8,2025-12-18,967550.0,BMW,2 Series Gran Coupe 220d M Sport [2020-2021],4300000,2020,11000,Diesel,Automatic,Pune,Blue,First,Individual,1995 cc,188 bhp @ 4000 rpm,400 Nm @ 1750 rpm,FWD,4526.0,1800.0,1420.0,5.0,50.0,43000.0,37182.1
39,178,918,13,2025-06-12,1507102.0,Honda,City VX,550000,2015,44000,Petrol,Manual,Kolkata,Grey,First,Individual,1497 cc,117 bhp @ 6600 rpm,145 Nm @ 4600 rpm,FWD,4440.0,1695.0,1495.0,5.0,40.0,5500.0,4755.85
40,15,1464,15,2024-09-30,929223.0,Maruti Suzuki,Wagon R LXi CNG,225000,2012,57000,CNG,Manual,Delhi,Silver,First,Individual,998 cc,59@6200,77@3500,,3539.0,1475.0,1700.0,5.0,35.0,2250.0,1945.575
41,103,1892,6,2026-06-05,1703954.0,Mahindra,Thar LX 4-STR Hard Top Petrol MT,1520000,2021,14000,Petrol,Manual,Delhi,Brown,First,Individual,1997 cc,150 bhp @ 5000 rpm,300 Nm @ 1250 rpm,AWD,3985.0,1820.0,1844.0,4.0,57.0,15200.0,13143.44
42,121,70,15,2024-10-07,431873.0,Audi,A4 2.0 TDI (143 bhp),1250000,2012,50000,Diesel,Automatic,Mumbai,White,First,Individual,,,,,,,,,,12500.0,10808.75
43,15,1699,10,2025-03-23,664071.0,Hyundai,i10 Era 1.1 iRDE2 [2010-2017],250000,2012,48568,Petrol,Manual,Mumbai,White,First,Individual,1086 cc,68 bhp @ 5500 rpm,99.08 Nm @ 4500 rpm,FWD,3585.0,1595.0,1550.0,5.0,35.0,2500.0,2161.75
44,71,397,2,2025-02-15,2344922.0,Maruti Suzuki,Ciaz Zeta 1.4 AT,741000,2017,31000,Petrol,Automatic,Mumbai,Blue,First,Individual,1373 cc,91 bhp @ 6000 rpm,130 Nm @ 4000 rpm,FWD,4490.0,1730.0,1485.0,5.0,43.0,7410.0,6407.427000000001
45,85,556,6,2025-08-14,429193.0,Audi,Q3 2.0 TDI quattro Premium Plus,1513000,2015,79000,Diesel,Automatic,Ahmedabad,Blue,Second,Individual,1968 cc,174 bhp @ 4200 rpm,380 Nm @ 1750 rpm,AWD,4385.0,1831.0,1608.0,5.0,64.0,15130.0,13082.911
46,109,1378,5,2025-04-21,1313723.0,Audi,A4 1.8 TFSI Multitronic Premium Plus,3125000,2020,28600,Petrol,Automatic,Lucknow,White,First,Individual,1798 cc,170 bhp @ 3800 rpm,320 Nm @ 1400 rpm,FWD,4701.0,1826.0,1427.0,5.0,63.0,31250.0,27021.875
47,128,1342,1,2024-10-04,1643504.0,Honda,Jazz V Diesel,525000,2015,68244,Diesel,Manual,Indore,Silver,Second,Individual,1498 cc,98 bhp @ 3600 rpm,200 Nm @ 1750 rpm,FWD,3955.0,1694.0,1544.0,5.0,40.0,5250.0,4539.675
48,127,1877,2,2025-08-02,1768139.0,Maruti Suzuki,Alto LXi,280000,2011,69276,Petrol,Manual,Hyderabad,Gold,First,Individual,998 cc,67 bhp @ 6200 rpm,90 Nm @ 3500 rpm,FWD,3620.0,1475.0,1460.0,5.0,35.0,2800.0,2421.16
49,37,700,13,2025-08-10,1180344.0,Hyundai,Sonata 2.0 CRDi,225000,2009,140000,Diesel,Manual,Yamunanagar,Silver,Third,Individual,1991 cc,142@4000,323@2000,FWD,4800.0,1832.0,1485.0,5.0,70.0,2250.0,1945.575
50,149,1516,14,2025-02-07,2058177.0,Hyundai,Creta SX 1.6 AT CRDi,1240000,2018,440000,Diesel,Automatic,Delhi,Grey,First,Individual,1582 cc,126 bhp @ 4000 rpm,260 Nm @ 1500 rpm,FWD,4270.0,1780.0,1665.0,5.0,55.0,12400.0,10722.28
51,162,1776,2,2026-05-24,1035345.0,Volvo,XC60 Inscription,1950000,2016,79000,Diesel,Automatic,Ahmedabad,White,First,Individual,2400 cc,215 bhp @ 4000 rpm,440 Nm @ 1500 rpm,AWD,4644.0,1891.0,1713.0,5.0,70.0,19500.0,16861.65
52,54,626,12,2025-10-05,1544365.0,Hyundai,Grand i10 Sportz (O) 1.2 Kappa VTVT [2017-2018],425000,2015,48000,Petrol,Manual,Delhi,Silver,First,Individual,1197 cc,81 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3765.0,1660.0,1520.0,5.0,43.0,4250.0,3674.975
53,135,296,15,2025-04-12,1421421.0,Maruti Suzuki,Alto LXi BS-III,189000,2008,19759,Petrol,Manual,Chennai,Blue,First,Individual,796 cc,47@6200,62@3000,,3495.0,1475.0,1460.0,5.0,35.0,1890.0,1634.2830000000001
54,120,26,8,2024-07-03,1284701.0,Maruti Suzuki,Ritz Zxi BS-IV,325000,2013,23086,Petrol,Manual,Mumbai,Grey,First,Individual,1197 cc,85 bhp @ 6000 rpm,113 Nm @ 4500 rpm,FWD,3775.0,1680.0,1620.0,5.0,43.0,3250.0,2810.275
55,80,830,11,2025-04-14,1794071.0,Honda,City V,949000,2018,37100,Petrol,Manual,Mysore,Grey,First,Individual,1497 cc,117 bhp @ 6600 rpm,145 Nm @ 4600 rpm,FWD,4440.0,1695.0,1495.0,5.0,40.0,9490.0,8206.003
56,39,908,4,2024-06-14,1811801.0,Honda,Amaze 1.2 S i-VTEC,475000,2014,65000,Petrol,Manual,Coimbatore,Silver,Second,Individual,1198 cc,87 bhp @ 6000 rpm,109 Nm @ 4500 rpm,FWD,3990.0,1680.0,1505.0,5.0,35.0,4750.0,4107.325
57,125,178,1,2025-03-08,1671970.0,Maruti Suzuki,Wagon R VXi,350000,2013,45000,Petrol,Manual,Pune,White,First,Individual,998 cc,68@6200,90@3500,,3539.0,1495.0,1700.0,5.0,35.0,3500.0,3026.4500000000003
58,73,1966,6,2025-04-10,844160.0,Maruti Suzuki,Swift VXi,365000,2013,68000,Petrol,Manual,Mumbai,Blue,First,Individual,1197 cc,85 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3850.0,1695.0,1530.0,5.0,42.0,3650.0,3156.155
59,171,516,10,2025-10-12,1436988.0,Maruti Suzuki,Estilo VXi BS-IV,229999,2012,52000,Petrol,Manual,Pune,White,First,Individual,998 cc,67 bhp @ 6200 rpm,90 Nm @ 3500 rpm,FWD,3600.0,1495.0,1595.0,5.0,35.0,2299.99,1988.8013529999998
60,48,646,1,2024-08-24,1293297.0,Mahindra,XUV500 W10 AT,994999,2016,105000,Diesel,Automatic,Mumbai,Grey,Second,Individual,2179 cc,138 bhp @ 3750 rpm,330 Nm @ 1600 rpm,FWD,4585.0,1890.0,1785.0,7.0,70.0,9949.99,8603.756353
61,136,759,2,2025-11-28,412388.0,Hyundai,Elite i20 Sportz 1.4,565000,2015,65000,Diesel,Manual,Ludhiana,White,Second,Individual,1396 cc,89 bhp @ 4000 rpm,220 Nm @ 1500 rpm,FWD,3985.0,1734.0,1505.0,5.0,45.0,5650.0,4885.555
62,41,1067,5,2026-02-26,1623352.0,Maruti Suzuki,Alto 800 Lxi,265000,2017,52100,Petrol,Manual,Lucknow,White,First,Individual,796 cc,47 bhp @ 6000 rpm,69 Nm @ 3500 rpm,FWD,3395.0,1490.0,1475.0,5.0,35.0,2650.0,2291.455
63,45,1039,3,2025-07-28,324831.0,Maruti Suzuki,Alto LXi CNG,155000,2009,56852,CNG,Manual,Kanpur,Gold,Second,Individual,796 cc,39 bhp @ 6200 rpm,54 Nm @ 3000 rpm,FWD,3495.0,1475.0,1460.0,5.0,35.0,1550.0,1340.285
64,26,979,5,2025-05-27,1380644.0,Audi,Q3 35 TDI Technology with Navigation,1839000,2017,110000,Diesel,Automatic,Mumbai,Blue,First,Individual,1968 cc,174 bhp @ 4200 rpm,380 Nm @ 1750 rpm,AWD,4385.0,1831.0,1608.0,5.0,64.0,18390.0,15901.833
65,114,574,3,2025-06-18,774443.0,BMW,3-Series 330i M Sport Edition,3650000,2019,6000,Petrol,Automatic,Delhi,White,First,Individual,1998 cc,248 bhp @ 5200 rpm,350 Nm @ 1450 rpm,RWD,4633.0,1811.0,1429.0,5.0,57.0,36500.0,31561.55
66,106,1596,9,2025-02-16,2189273.0,Ford,Ecosport Trend 1.5 TDCi,285000,2013,72000,Diesel,Manual,Faridabad,Silver,First,Individual,1498 cc,89 bhp @ 3750 rpm,204 Nm @ 2000 rpm,FWD,3999.0,1765.0,1708.0,5.0,52.0,2850.0,2464.395
67,45,396,7,2026-03-22,1263714.0,Mercedes-Benz,M-Class ML 350 CDI,2450000,2014,65000,Diesel,Automatic,Chandigarh,White,Second,Individual,2997 cc,254 bhp @ 3600 rpm,619 Nm @ 1600 rpm,AWD,4804.0,2141.0,1796.0,5.0,70.0,24500.0,21185.15
68,6,930,15,2025-04-10,1318275.0,Maruti Suzuki,Swift ZXi AMT [2018-2019],725000,2019,11874,Petrol,Automatic,Mumbai,White,First,Individual,1197 cc,82 bhp @ 6000 rpm,113 Nm @ 4200 rpm,FWD,3840.0,1735.0,1530.0,5.0,37.0,7250.0,6269.075
69,82,943,9,2024-11-22,1318606.0,Tata,Safari 2.2 VX 4x2,740000,2015,155000,Diesel,Manual,Hyderabad,Black,First,Individual,2179 cc,138 bhp @ 4000 rpm,320 Nm @ 1700 rpm,RWD,4655.0,1965.0,1922.0,7.0,55.0,7400.0,6398.78
70,177,245,2,2025-08-17,1297922.0,Hyundai,Verna Fluidic 1.6 CRDi SX,484999,2013,107000,Diesel,Manual,Chandigarh,White,First,Individual,1582 cc,126 bhp @ 4000 rpm,260 Nm @ 1900 rpm,FWD,4370.0,1700.0,1475.0,5.0,43.0,4849.99,4193.7863529999995
71,123,797,12,2025-02-03,2336299.0,Hyundai,Creta 1.6 SX (O),875000,2016,62125,Diesel,Manual,Patna,White,First,Individual,1582 cc,126 bhp @ 4000 rpm,265 Nm @ 1900 rpm,FWD,4270.0,1780.0,1630.0,5.0,60.0,8750.0,7566.125
72,170,564,14,2026-05-24,694838.0,Maruti Suzuki,Swift LXi Special Edition,700000,2019,11000,Petrol,Manual,Chennai,Silver,Second,Individual,1197 cc,82 bhp @ 6000 rpm,113 Nm @ 4200 rpm,FWD,3840.0,1735.0,1530.0,5.0,37.0,7000.0,6052.900000000001
73,40,1411,15,2024-10-18,1606857.0,Maruti Suzuki,Swift DZire VXI,465000,2014,65000,Petrol,Manual,Ahmedabad,White,Second,Individual,1197 cc,85 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3995.0,1695.0,1555.0,5.0,42.0,4650.0,4020.855
74,51,279,15,2025-02-15,2250347.0,Hyundai,Creta 1.6 SX Plus AT Petrol,1095000,2017,39000,Petrol,Automatic,Hyderabad,Red,Second,Individual,1591 cc,122 bhp @ 6400 rpm,154 Nm @ 4850 rpm,FWD,4270.0,1780.0,1630.0,5.0,60.0,10950.0,9468.465
75,148,1835,9,2024-09-02,2037128.0,Toyota,Fortuner 2.8 4x2 AT [2016-2020],2811000,2019,71500,Diesel,Automatic,Delhi,White,Second,Individual,2755 cc,174 bhp @ 3400 rpm,450 Nm @ 1600 rpm,RWD,4795.0,1855.0,1835.0,7.0,80.0,28110.0,24306.717
76,92,440,11,2024-12-06,1649612.0,Maruti Suzuki,Ritz Vdi BS-IV,445000,2012,54948,Diesel,Manual,Mangalore,Silver,First,Individual,1248 cc,75@4000,190@2000,,3715.0,1680.0,1620.0,5.0,43.0,4450.0,3847.915
77,113,1936,3,2025-09-10,2472213.0,Tata,Nexon XM,750000,2019,33000,Petrol,Manual,Delhi,Silver,First,Individual,1198 cc,108 bhp @ 5000 rpm,170 Nm @ 1750 rpm,FWD,3994.0,1811.0,1607.0,5.0,44.0,7500.0,6485.25
78,67,610,14,2024-12-19,452915.0,Audi,A4 30 TFSI Technology Pack,3500000,2018,18000,Petrol,Automatic,Mumbai,White,First,Individual,1395 cc,148 bhp @ 5000 rpm,250 Nm @ 1500 rpm,FWD,4726.0,1842.0,1427.0,5.0,54.0,35000.0,30264.5
79,186,1198,2,2025-01-16,438199.0,Hyundai,Creta 1.4 S Plus,1080000,2019,68000,Diesel,Manual,Bhopal,White,First,Individual,1396 cc,89 bhp @ 4000 rpm,224 Nm @ 1500 rpm,FWD,4270.0,1780.0,1630.0,5.0,60.0,10800.0,9338.76
80,165,976,5,2026-04-04,1355890.0,Honda,City V Petrol,1095000,2022,2700,Petrol,Manual,Delhi,Silver,First,Individual,1497 cc,118 bhp @ 6600 rpm,145 Nm @ 4600 rpm,FWD,4440.0,1695.0,1495.0,5.0,40.0,10950.0,9468.465
81,161,1846,3,2025-06-23,2377442.0,Honda,Jazz V Petrol,655000,2017,24003,Petrol,Manual,Bangalore,Brown,First,Individual,1199 cc,89 bhp @ 6000 rpm,110 Nm @ 4800 rpm,FWD,3955.0,1694.0,1544.0,5.0,40.0,6550.0,5663.785
82,119,518,15,2025-03-15,541159.0,Hyundai,Eon Era +,300000,2018,51000,Petrol,Manual,Kanpur,White,First,Individual,814 cc,55 bhp @ 5500 rpm,75 Nm @ 4000 rpm,FWD,3495.0,1550.0,1500.0,5.0,32.0,3000.0,2594.1
83,32,1898,9,2026-05-15,1594931.0,Honda,CR-V 2.0L 2WD AT,1130000,2015,50000,Petrol,Automatic,Mumbai,Brown,First,Individual,1997 cc,154 bhp @ 6500 rpm,190 Nm @ 4300 rpm,FWD,4545.0,1820.0,1685.0,5.0,58.0,11300.0,9771.11
84,91,786,1,2026-01-05,1514252.0,Porsche,718 Boxster,9500000,2018,20000,Petrol,Automatic,Delhi,Yellow,First,Individual,1988 cc,295 bhp @ 6500 rpm,380 Nm @ 2150 rpm,RWD,4379.0,1801.0,1281.0,2.0,54.0,95000.0,82146.5
85,191,1891,11,2025-05-28,2477005.0,Mercedes-Benz,S-Class S 450,20000000,2021,6600,Petrol,Automatic,Delhi,White,First,Individual,2996 cc,362 bhp @ 5250 rpm,500 Nm @ 1800 rpm,RWD,5246.0,1899.0,1494.0,5.0,80.0,200000.0,172940.0
86,182,836,14,2025-03-29,2071897.0,MINI,Cooper S,3900000,2020,13000,Petrol,Automatic,Delhi,Black,First,Individual,1998 cc,189 bhp @,280 Nm @ 1250 rpm,,3850.0,1727.0,1414.0,4.0,44.0,39000.0,33723.3
87,166,559,3,2025-03-21,631395.0,BMW,X3 xDrive 20d Luxury Line [2018-2020],5975000,2021,18000,Diesel,Automatic,Delhi,White,First,Individual,1995 cc,190 bhp @ 4000 rpm,400 Nm @ 1750 rpm,AWD,4657.0,1881.0,1678.0,5.0,67.0,59750.0,51665.825000000004
88,181,486,11,2024-10-25,458298.0,Land Rover,Evoque Pure SD4,2150000,2012,95000,Diesel,Automatic,Coimbatore,White,First,Individual,2179 cc,190 bhp @ 3500 rpm,420 Nm @ 1750 rpm,AWD,4355.0,2120.0,1635.0,5.0,57.0,21500.0,18591.05
89,13,1472,13,2025-07-18,760116.0,Renault,Pulse RxL ABS Diesel [2015-2017],340000,2017,6000,Diesel,Manual,Kolkata,Maroon,First,Individual,1461 cc,63 bhp @ 4000 rpm,160 Nm @ 2000 rpm,FWD,3805.0,1665.0,1525.0,5.0,41.0,3400.0,2939.98
90,76,411,6,2025-09-27,589716.0,Mercedes-Benz,E-Class 200 K Classic,509999,2007,39000,Petrol,Automatic,Ludhiana,Silver,Third,Individual,,,,,,,,,,5099.99,4409.961353
91,35,1437,8,2025-08-13,1855904.0,Honda,City VX,1199000,2020,26497,Petrol,Manual,Kolkata,White,Second,Individual,1497 cc,117 bhp @ 6600 rpm,145 Nm @ 4600 rpm,FWD,4440.0,1695.0,1495.0,5.0,40.0,11990.0,10367.753
92,153,1899,13,2024-07-09,1286556.0,Maruti Suzuki,Alto VXI,316000,2019,17491,Petrol,Manual,Kolkata,Others,First,Individual,,,,,,,,,,3160.0,2732.452
93,7,1215,15,2025-06-15,2006238.0,Maruti Suzuki,Swift VXi [2014-2017],695000,2019,46027,Petrol,Manual,Hyderabad,Blue,First,Individual,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3850.0,1695.0,1530.0,5.0,42.0,6950.0,6009.665
